epoch,lr-Adam,step,train_loss_epoch/forces_mse,train_loss_epoch/per_atom_energy_mse,train_loss_epoch/weighted_sum,train_loss_step/forces_mse,train_loss_step/per_atom_energy_mse,train_loss_step/weighted_sum,val0_epoch/forces_mae,val0_epoch/forces_rmse,val0_epoch/per_atom_energy_mae,val0_epoch/per_atom_energy_rmse,val0_epoch/total_energy_mae,val0_epoch/total_energy_rmse,val0_epoch/weighted_sum
25.0,,185015,0.018668124296933503,0.0002472665518998232,0.016993500865566804,,,,,,,,,,
26.0,,189999,,,,0.020090886596172086,9.32419895836754e-05,0.018272918904664048,,,,,,,
27.0,,199247,0.01816347566305816,0.00023908033224219423,0.016533985178438525,,,,,,,,,,
28.0,,200999,,,,0.01693602877575514,0.00010628815218488016,0.015406052355430569,,,,,,,
29.0,,210999,,,,0.01841147314436733,0.0005023957788886351,0.016783375202051087,,,,,,,
30.0,,216999,,,,0.018166418158415992,0.0001318154817486173,0.0165269088241735,,,,,,,
31.0,,223999,,,,0.014226007177950237,3.870667641627759e-05,0.012936252586901693,,,,,,,
32.0,,228999,,,,0.01699523058393451,0.00013201167963386556,0.01546221068354354,,,,,,,
33.0,,241943,0.016904303409096582,0.00022098395578395278,0.015387638004249976,,,,,,,,,,
34.0,,245999,,,,0.013256489152626522,0.00015056194254011698,0.012065041224436848,,,,,,,
35.0,,253999,,,,0.01756135760358205,0.00010416961414362892,0.0159743405136331,,,,,,,
36.0,,256999,,,,0.018070314225836655,0.0001606455387168721,0.016442162527007583,,,,,,,
37.0,,263999,,,,0.019317110668528915,0.00021769577582581937,0.017580800223737723,,,,,,,
38.0,,273999,,,,0.01280843366550521,6.5312011022588e-05,0.011649968060552244,,,,,,,
39.0,,284639,,,,,,,0.09001564592489572,0.12143667718983785,0.006768813146674829,0.009450336085094848,0.7310318198408807,1.0206362971902432,0.08244775203596656
40.0,,284999,,,,0.01529367572908194,0.00011404773214054704,0.013913709547541812,,,,,,,
41.0,,291999,,,,0.014858207155575837,0.00024408572046089326,0.013529650661474478,,,,,,,
42.0,,298999,,,,0.017231114546040687,0.00017616292528607267,0.01568066439869936,,,,,,,
43.0,,305999,,,,0.016686247889931886,0.00012675724094464961,0.015180839649114862,,,,,,,
44.0,,313999,,,,0.015633869508051713,0.0002347211448554071,0.014233946929579322,,,,,,,
45.0,,320999,,,,0.014167121748345153,6.765782077596143e-05,0.012885352300384316,,,,,,,
46.0,,330999,,,,0.012935171682467037,0.00038674823795428173,0.011794405914784058,,,,,,,
47.0,,341567,,,,,,,0.08734452781528451,0.11775580778924408,0.006539184174448978,0.00908461188404397,0.7062318908404904,0.9811380834767484,0.07999858748429946
48.0,,342999,,,,0.012514839439624649,5.085616602287965e-05,0.011381750051115394,,,,,,,
49.0,,355799,0.014835080602289353,0.00019017183048593351,0.013503725259398134,,,,,,,,,,
50.0,,358999,,,,0.012254830001103485,0.00021018548333314293,0.011159862317669815,,,,,,,
51.0,,365999,,,,0.01458709666471589,7.008798122900984e-05,0.01326736860258072,,,,,,,
52.0,,370999,,,,0.015438968828197357,0.0005755928499458464,0.01408775283017449,,,,,,,
53.0,,377999,,,,0.014248597228802925,0.00016374073993470818,0.012968155729814905,,,,,,,
54.0,,387999,,,,0.013545740486207932,6.038478453459694e-05,0.012319799058783084,,,,,,,
55.0,,398495,,,,,,,0.08522538181520763,0.11480371113617265,0.006062574008277075,0.008490945246518585,0.6547579928939246,0.9170220866240072,0.07802876292366849
56.0,,399999,,,,0.01363387403514073,0.0001269732069436488,0.012405973959850086,,,,,,,
57.0,,412727,0.01367320274356012,0.00012020802837106355,0.012441112314906569,,,,,,,,,,
58.0,,412999,,,,0.01261494721989335,0.00018258434613863358,0.011484732413188377,,,,,,,
59.0,,419999,,,,0.013815669186964977,7.044413267753903e-05,0.012566103272938844,,,,,,,
60.0,,427999,,,,0.012648454097756888,0.0002042469851454361,0.011517162542064936,,,,,,,
61.0,,438999,,,,0.013624796704859578,5.283835386856151e-05,0.01239098230931494,,,,,,,
62.0,,444999,,,,0.0117860094759619,6.393429992934978e-05,0.010720366278140759,,,,,,,
63.0,,451999,,,,0.013998652470195464,5.291305003621594e-05,0.012730857977453712,,,,,,,
64.0,,458999,,,,0.011172541432613129,4.462493019255377e-05,0.0101609126596658,,,,,,,
65.0,,462999,,,,0.011910985266989194,0.00028401836859960334,0.010853988276226502,,,,,,,
66.0,,472999,,,,0.01408518705668776,2.1908784117403905e-05,0.012806707213726816,,,,,,,
67.0,,477999,,,,0.013517224842281059,5.137391883008138e-05,0.012293056576512787,,,,,,,
68.0,,484999,,,,0.012081201062842672,3.939071721384548e-05,0.01098649103142187,,,,,,,
69.0,,495999,,,,0.01257229231517078,9.731088767267986e-05,0.011438203094489136,,,,,,,
70.0,,501999,,,,0.014487593582278371,0.00010877458911490436,0.013180428219263513,,,,,,,
71.0,,508999,,,,0.012371913353949082,0.00010957578756367696,0.011257155393368587,,,,,,,
72.0,,513999,,,,0.011244571829158051,2.946594217861269e-05,0.010225016748523556,,,,,,,
73.0,,526583,0.012873629800503229,8.863437963782306e-05,0.011711357489515463,,,,,,,,,,
74.0,,526999,,,,0.01232406868664789,8.887691754224727e-05,0.011211778525820105,,,,,,,
75.0,,533999,,,,0.013407624986604534,0.00014475041802423707,0.012201909116733595,,,,,,,
76.0,,541999,,,,0.012828620108531995,3.876138285385965e-05,0.011665905678924893,,,,,,,
77.0,,551999,,,,0.011562103269804195,7.762395847830681e-05,0.010518059696047296,,,,,,,
78.0,,559999,,,,0.013868772948106695,0.0001764372045130541,0.012624015153234549,,,,,,,
79.0,,565999,,,,0.011739314211245931,3.534685463046799e-05,0.010675317178826344,,,,,,,
80.0,,570999,,,,0.01389826988601821,4.408235649837828e-06,0.012635191554166541,,,,,,,
